date,location,tweetcreatedts,sentiment
20220224,Zimbabwe,50,-0.46
20220225,Afghanistan,92,-0.423913043
20220225,Albania,30,-0.066666667
20220225,Algeria,12,-0.416666667
20220225,Angola,5,-0.6
20220225,Antarctica,60,-0.4
20220225,Argentina,199,-0.236180905
20220225,Armenia,22,-0.318181818
20220225,Australia,988,-0.33097166
20220225,Austria,151,-0.185430464
20220225,Azerbaijan,59,-0.237288136
20220225,Bangladesh,229,0.013100437
20220225,Belarus,13,-0.538461538
20220225,Belgium,329,-0.124620061
20220225,Belize,3,-0.333333333
20220225,Benin,25,-0.28
20220225,Bhutan,4,0
20220225,Bolivia,12,-0.333333333
20220225,Bosnia and Herzegovina,17,0
20220225,Botswana,19,-0.368421053
20220225,Brazil,105,-0.257142857
20220225,Brunei,3,-0.333333333
20220225,Bulgaria,47,-0.063829787
20220225,Burkina Faso,5,0
20220225,Burundi,2,-0.5
20220225,Cambodia,12,-0.25
20220225,Cameroon,12,-0.416666667
20220225,Canada,2086,-0.245445829
20220225,Central African Republic,2,0.5
20220225,Chad,5,0
20220225,Chile,236,-0.347457627
20220225,China,155,-0.380645161
20220225,Colombia,189,-0.243386243
20220225,Costa Rica,42,-0.142857143
20220225,Croatia,61,-0.147540984
20220225,Cuba,31,-0.580645161
20220225,Cyprus,44,-0.386363636
20220225,Czech Republic,141,-0.226950355
20220225,Denmark,156,-0.012820513
20220225,Djibouti,1,1
20220225,Dominican Republic,24,-0.333333333
20220225,East Timor,1,-1
20220225,Ecuador,90,-0.177777778
20220225,Egypt,125,-0.328
20220225,El Salvador,31,-0.290322581
20220225,England,4079,-0.244422653
20220225,Eritrea,8,-0.625
20220225,Estonia,103,-0.223300971
20220225,Ethiopia,63,-0.492063492
20220225,Falkland Islands,2,0.5
20220225,Fiji,27,-0.222222222
20220225,Finland,346,-0.291907514
20220225,France,1203,-0.080631754
20220225,Gabon,2,-1
20220225,Gambia,5,-0.4
20220225,Georgia,390,-0.271794872
20220225,Germany,1070,-0.199065421
20220225,Ghana,606,-0.163366337
20220225,Greece,176,-0.284090909
20220225,Greenland,4,-0.5
20220225,Guatemala,32,-0.3125
20220225,Guinea,2,-0.5
20220225,Guyana,1,0
20220225,Haiti,9,-0.333333333
20220225,Honduras,15,-0.2
20220225,Hungary,52,-0.307692308
20220225,Iceland,29,-0.172413793
20220225,India,8580,-0.306526807
20220225,Indonesia,513,-0.097465887
20220225,Iran,81,-0.283950617
20220225,Iraq,51,-0.274509804
20220225,Ireland,768,-0.171875
20220225,Israel,144,-0.354166667
20220225,Italy,251,-0.306772908
20220225,Ivory Coast,1,0
20220225,Jamaica,71,-0.267605634
20220225,Japan,308,-0.224025974
20220225,Jordan,27,-0.444444444
20220225,Kazakhstan,21,-0.285714286
20220225,Kenya,711,-0.147679325
20220225,Kosovo,28,-0.321428571
20220225,Kuwait,17,-0.235294118
20220225,Kyrgyzstan,5,-0.2
20220225,Latvia,114,-0.412280702
20220225,Lebanon,89,-0.292134831
20220225,Lesotho,8,-0.125
20220225,Liberia,3,-0.333333333
20220225,Libya,15,-0.266666667
20220225,Lithuania,108,-0.175925926
20220225,Luxembourg,45,-0.155555556
20220225,Macedonia,12,-0.25
20220225,Madagascar,5,-0.4
20220225,Malawi,10,-0.2
20220225,Malaysia,252,-0.242063492
20220225,Mali,20,-0.05
20220225,Mauritania,1,-1
20220225,Mexico,199,-0.286432161
20220225,Moldova,7,-0.142857143
20220225,Mongolia,40,-0.275
20220225,Montenegro,16,0.0625
20220225,Morocco,19,-0.315789474
20220225,Mozambique,8,-0.25
20220225,Myanmar,19,-0.473684211
20220225,Namibia,18,-0.222222222
20220225,Nepal,93,-0.290322581
20220225,Netherlands,447,-0.203579418
