,location,hashtag,cnt,retweet_mean,retweet_max,text
2341,Jordan,china,90,61.17,2315,while some mep s talk sense about china others bow to nato who warn us of china building its military bullying it has it is neighbours but nato forgot to tell us that us spend more on military than the next 9 countries together china has not dropped a bomb on anyone in 40 years https t co ydy4wi53g5
2342,Jordan,eu,40,66.03,2495,it s still incredible that this video exists ukraine eu https t co suqw8qkusy
2343,Jordan,kharkiv,21,442.57,3631,a missile hits kharkiv residential area again this is how the life of ukrainians looks under russian bombs and rockets for how long will it continue armukrainenow protectuasky video ukraine now https t co nayr86pseq
2344,Jordan,kherson,4,328.75,908,russian invaders opened fire on the residents of kherson who went to the protest https t co hzsxuew15w
2345,Jordan,kyiv,48,1669.15,28652,putin s dream of creating a greater russia is my country s nightmare saveukraine kyiv stopputinswar standtogether freeukraine weareallukrainians standwithukraine stopthewar https t co ekw3k6bsbz
2346,Jordan,mariupol,72,735.36,20618,russians began using mobile crematoriums in mariupol to burn bodies of slaughtered ukrainians en masse this is a catastrophe and we will never learn the true scale of it
2347,Jordan,nato,68,317.71,4461,nato summit in madrid was a big love in for military industrial complex nato is not a defence alliance it has it is a war machine just ask people of afghanistan iraq libya nato s real goal is defence of us hegemony all discussion of this is chilled in land of free speech https t co tuplzevyjo
2348,Jordan,news,95,0.28,3,canada jetlines operations ltd announced that the canadian transportation agency cta has determined that the company has met the agency s financial requirements ca_jetlines canada airlines aviation aviationlovers aviationdaily jets aircraft flights news transport https t co zyjdf4zo9h
2349,Jordan,news,95,0.28,3,qantas resumed its scheduled services to the french islands of new caledonia the flights are operated four times a week and fly into the capital of new caledonia nouméa from the australian cities of sydney and brisbane qantas qantas flights aviation australia sydney news https t co y8ynbntu52
2350,Jordan,news,95,0.28,3,international air transport association iata director general and former british airways ceo willie walsh has said that the cost of air travel will rise in the coming months as the rising price of fuel is passed on to passengers iata aviation aviationindustry travel news https t co xv0kqan1g7
2351,Jordan,putin,128,230.74,9534,this is what putin is doing to my country i want you to see it i want you to feel it i want you to learn what it looks like when a rocket hits your home stopputinnow https t co lquwr0zz1r
2352,Jordan,russia,563,150.86,17252,this is iryna before russia came to our land she was learning makeup and had plans she lived in bucha this is her hand with manicure on the graphic photo that many of you have seen russians killed iryna and hundreds of humans like her just because they were ukrainians https t co csmjsdk9nz
2353,Jordan,russiaisaterroriststate,3,248.0,606,kids sing that they are ready to go into last battle for crimea alasca from kuril islands to baltic shores this is russia s true deadly weapon propaganda this is what we must fight at least on the same scale as their army russiaukrainewar russiaisaterroriststate https t co 3wwrigozri
2354,Jordan,russian,137,116.81,3289,kharkiv a russian shell explodes next to people who are standing in line at the supermarket https t co qizkgv4zla
2355,Jordan,russianukrainianwar,34,2.26,73,please retweet doublestandards russians russianukrainianwar russiaukraine freepalestine palestine ukrainerussiawar ukriane russiaukraine russian kyiv ukraineinvasion israel istandwithukraine istandwithukriane istandwithputin https t co biguwk5ewl
2356,Jordan,russiaukrainewar,62,11.29,606,kids sing that they are ready to go into last battle for crimea alasca from kuril islands to baltic shores this is russia s true deadly weapon propaganda this is what we must fight at least on the same scale as their army russiaukrainewar russiaisaterroriststate https t co 3wwrigozri
2357,Jordan,slavaukraini,17,117.06,296,thank you slavaukraini https t co lndbe1uucu
2358,Jordan,standwithukraine,72,477.74,10458,this is genocide genocide freeukraine standwithukraine stopthewar ukraine https t co nfleplwhil
2359,Jordan,stoprussia,20,231.55,1442,zelenskyyua the russian invasion wiped out the russian speaking cities of ukraine from the face of the earth stoprussia https t co 5xep7nbw5d
2360,Jordan,ukraine,985,469.3,73069,little girl singing let it go in a shelter ukrainerussianwar ukraine ukraineunderattack https t co 6gfcuoiwjj
2361,Jordan,ukrainerussianwar,46,1632.54,73069,little girl singing let it go in a shelter ukrainerussianwar ukraine ukraineunderattack https t co 6gfcuoiwjj
2362,Jordan,ukrainerussiawar,89,108.22,5117,no one wins war stand against it ukraine ukrainerussiawar mint your favourite peace nightingale https t co lvfzwzract
2363,Jordan,ukraineunderattack,36,2042.0,73069,little girl singing let it go in a shelter ukrainerussianwar ukraine ukraineunderattack https t co 6gfcuoiwjj
2364,Jordan,ukrainewar,65,12.83,333,this is not a picture from ww1 ww2 or ukrainewar this is syria ukrainerussianwar russian ukrainian russianukrainianwar russiaukraine https t co gixzlwscbw
2365,Jordan,ukrainian,99,249.17,8165,bridge at a ukrainian romanian border crossing border guards left toys for ukrainian children so that every child passing could take a toy with them ukraine https t co njbg3unzrs
2366,Jordan,us,43,273.28,4461,nato summit in madrid was a big love in for military industrial complex nato is not a defence alliance it has it is a war machine just ask people of afghanistan iraq libya nato s real goal is defence of us hegemony all discussion of this is chilled in land of free speech https t co tuplzevyjo
